id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,Revenue CAGR (%),Net Profit CAGR (%),EPS CAGR (%),Asset CAGR (%),Operating Cash Ratio,Investment Ratio,Financing Ratio,Free Cash Flow Indicator,Cash Quality Score,Cashflow Rank
811,NTPC,Mar 2022,12.78,30.0,12.53,1.5565,4.8177,0.319,18897.0,22891.0,17.0,1.396,41.0,210707,41788.0,8.29,4.98,4.87,8.81,2.46,-0.55,-0.46,18897.0,158.4,174
812,NTPC,Mar 2023,9.72,27.0,11.65,1.5162,4.3817,0.394,21007.0,26145.0,17.0,1.5162,42.0,222913,47152.0,8.29,4.98,4.87,8.81,2.75,-0.55,-0.45,21007.0,170.0,157
813,NTPC,Mar 2024,11.95,29.0,13.27,1.4755,4.605,0.3724,8644.0,32141.0,21.0,1.6573,36.0,237131,40785.0,8.29,4.98,4.87,8.81,1.91,-0.79,-0.2,8644.0,136.39999999999998,220
814,ONGC,Mar 2013,14.81,27.0,15.73,0.1356,101.2169,0.6392,-1346.0,41220.0,19.0,3.5654,34.0,20686,39874.0,12.4,4.84,4.71,9.56,1.66,-1.03,-0.17,-1346.0,66.39999999999999,378
815,ONGC,Mar 2014,15.31,28.0,15.49,0.2853,90.2244,0.5358,-10363.0,63633.0,21.0,4.0241,31.0,49113,53270.0,12.4,4.84,4.71,9.56,2.0,-1.19,0.29,-10363.0,80.0,355
816,ONGC,Mar 2015,11.0,26.0,9.81,0.2989,16.853,0.4763,3892.0,30058.0,14.0,4.2182,44.0,53944,33950.0,12.4,4.84,4.71,9.56,1.92,-0.89,-0.31,3892.0,136.8,218
817,ONGC,Mar 2016,10.56,32.0,6.619999999999999,0.23,10.675,0.3629,8036.0,38256.0,10.0,4.624,56.0,45500,46292.0,12.4,4.84,4.71,9.56,3.53,-0.83,-0.19,8036.0,201.2,127
818,ONGC,Mar 2017,10.33,19.0,15.01,0.4117,18.2478,0.6355,1965.0,43815.0,19.0,3.0292,40.0,80029,45780.0,12.4,4.84,4.71,9.56,1.57,-0.96,-0.04,1965.0,122.8,248
819,ONGC,Mar 2018,8.08,18.0,12.78,0.5223,13.4663,0.7027,-10006.0,66798.0,17.0,3.1794,38.0,106550,56792.0,12.4,4.84,4.71,9.56,2.18,-1.18,0.17,-10006.0,87.2,340
820,ONGC,Mar 2019,8.05,18.0,15.64,0.4967,14.4571,0.8564,24326.0,37132.0,24.0,3.4489,29.0,107742,61458.0,12.4,4.84,4.71,9.56,1.81,-0.6,-0.38,24326.0,132.4,228
821,ONGC,Mar 2020,2.89,13.0,5.59,0.6313,7.0887,0.7804,17434.0,53159.0,9.0,3.2608,58.0,129473,70593.0,12.4,4.84,4.71,9.56,6.16,-0.75,-0.24,17434.0,306.4,72
